ListSize,countSort_Ops,countSort_Time,heapSort_Ops,heapSort_Time,mapSort_Ops,mapSort_Time
52222,208870,0.000204,1880955,0.008414,10653289,0.009607
45990,183954,0.000257,1635364,0.007580,9381961,0.007899
43307,173210,0.000170,1529735,0.006872,8834629,0.007284
13723,54886,0.000123,428315,0.001972,2799493,0.002611
7604,30413,0.000078,221108,0.001096,1551217,0.001435
54565,218242,0.000210,1973400,0.009512,11131261,0.009410
27500,109988,0.000149,927489,0.004226,5610001,0.005040
6568,26269,0.000085,187764,0.001014,1339873,0.001413
45687,182727,0.000210,1624310,0.007851,9320149,0.008471
60451,241780,0.000216,2208778,0.010730,12332005,0.011124
30503,122003,0.000162,1039353,0.004997,6222613,0.005703
52059,208221,0.000217,1874136,0.009103,10620037,0.009880
74263,297037,0.000241,2769063,0.011767,15149653,0.013358
9580,38317,0.000087,286604,0.001417,1954321,0.001597
29665,118648,0.000171,1007955,0.004871,6051661,0.005565
58592,234344,0.000197,2134533,0.009096,11952769,0.010375
1591,6364,0.000023,37181,0.000188,324565,0.000292
9666,38661,0.000094,289614,0.001223,1971865,0.001800
6885,27537,0.000071,197671,0.000910,1404541,0.001297
27619,110464,0.000158,931649,0.004440,5634277,0.005193
32264,129053,0.000172,1105800,0.004670,6581857,0.005921
29416,117655,0.000167,998549,0.004740,6000865,0.005531
85689,342732,0.000271,3239101,0.015330,17480557,0.016789
96333,385305,0.000292,3685089,0.016813,19651933,0.018222
21519,86070,0.000135,706401,0.003348,4389877,0.004102
98184,392718,0.000282,3763238,0.018349,20029537,0.019057
58171,232657,0.000204,2118161,0.010013,11866885,0.009803
30440,121757,0.000167,1037148,0.005292,6209761,0.005020
59678,238706,0.000261,2178450,0.010272,12174313,0.012449
58594,234352,0.000228,2134460,0.010311,11953177,0.010729
95804,383180,0.000292,3662621,0.017298,19544017,0.018972
23730,94911,0.000151,787924,0.003780,4840921,0.004455
86461,345805,0.000279,3271251,0.015506,17638045,0.016827
30024,120075,0.000173,1021169,0.004941,6124897,0.005049
59751,238986,0.000224,2181397,0.010238,12189205,0.010248
70046,280163,0.000224,2596218,0.011867,14289385,0.012264
73920,295653,0.000236,2755049,0.013127,15079681,0.013438
26449,105793,0.000156,887757,0.004164,5395597,0.005310
48827,195281,0.000205,1748603,0.008303,9960709,0.008824
99956,399785,0.000305,3836409,0.017818,20391025,0.018140
38058,152214,0.000175,1326857,0.006181,7763833,0.007154
5305,21214,0.000062,147150,0.000608,1082221,0.000978
55109,220418,0.000218,1995515,0.009327,11242237,0.010364
54995,219959,0.000216,1990869,0.010095,11218981,0.009805
92541,370134,0.000301,3525003,0.016025,18878365,0.019256
64811,259232,0.000226,2385476,0.010903,13221445,0.010908
39932,159716,0.000183,1399840,0.006248,8146129,0.007517
81298,325177,0.000303,3058953,0.014818,16584793,0.013979
47481,189909,0.000204,1693952,0.008124,9686125,0.008837
4006,16024,0.000048,107141,0.000496,817225,0.000739
58849,235363,0.000226,2145012,0.009724,12005197,0.010885
26106,104424,0.000156,875942,0.004262,5325625,0.005021
